centre_id,nom_centre,type_centre,region,prefecture,commune,quartier,latitude,longitude,personnel_capacite_jour,nombre_guichets,heures_ouverture,horaire_nuit,equipement_numerique,date_ouverture,statut_centre
CT001,Centre Principal Dapaong,Principal,savanes,tone,dapaong,Administratif,10.592,0.4742,300,12,07:30-17:30,Non,Complet,2016-02-14,Actif
CT002,Centre Kévé,Secondaire,maritime,ave,keve,Zone industrielle,6.2815,1.2182,63,2,08:00-16:00,Non,Limite,2020-09-14,Actif
CT003,Centre Gando,Secondaire,savanes,oti-sud,gando,Zone industrielle,10.2629,0.2525,98,2,08:00-16:00,Non,Partiel,2015-06-02,Actif
CT004,Centre Pagouda,Secondaire,kara,binah,pagouda,Gare routière,9.4247,1.1698,78,6,08:00-16:00,Non,Partiel,2019-12-03,Actif
CT005,Centre Tchamba,Secondaire,centrale,tchamba,tchamba,Carrefour,8.5008,0.9988,62,3,08:00-16:00,Non,Limite,2022-10-20,Actif
CT006,Centre Principal Tsévié,Principal,maritime,zio,tsevie,Marché,6.4705,1.4344,338,8,07:30-17:30,Non,Complet,2022-08-28,Actif
CT007,Centre Bassar,Secondaire,kara,bassar,bassar,Poste,9.42,1.0817,59,6,08:00-16:00,Non,Partiel,2020-02-11,Actif
CT008,Centre Principal Kpalimé,Principal,plateaux,kloto,kpalime,Préfecture,7.6305,0.9746,355,11,07:30-17:30,Non,Complet,2017-07-12,Actif
CT009,Centre Tchamba,Secondaire,centrale,tchamba,tchamba,Résidentiel,8.791,1.0719,61,2,08:00-16:00,Non,Limite,2022-05-11,Actif
CT010,Centre Principal Kara,Principal,kara,kozah,kara,Préfecture,9.324,0.7628,274,13,07:30-17:30,Non,Complet,2023-11-24,Actif
CT011,Centre Pagouda,Secondaire,kara,binah,pagouda,Préfecture,9.4996,0.9323,82,6,08:00-16:00,Non,Partiel,2017-11-30,Actif
CT012,Centre Sotouboua,Secondaire,centrale,sotouboua,sotouboua,Résidentiel,8.2161,1.3118,54,5,08:00-16:00,Non,Partiel,2022-07-15,Actif
